"ID","Crop_Damage"
"F00000002",1
"F00000007",1
"F00000011",1
"F00000013",1
"F00000014",1
"F00000015",1
"F00000016",2
"F00000019",2
"F00000025",2
"F00000026",2
"F00000027",1
"F00000031",2
"F00000032",1
"F00000033",1
"F00000034",1
"F00000036",1
"F00000040",1
"F00000041",2
"F00000043",1
"F00000044",2
"F00000046",1
"F00000047",1
"F00000051",0
"F00000053",0
"F00000057",0
"F00000059",0
"F00000060",0
"F00000061",0
"F00000064",0
"F00000066",0
"F00000069",0
"F00000070",0
"F00000073",0
"F00000078",0
"F00000079",0
"F00000086",0
"F00000087",0
"F00000088",0
"F00000093",0
"F00000094",0
"F00000098",0
"F00000099",0
"F00000100",0
"F00000101",0
"F00000102",0
"F00000104",0
"F00000106",0
"F00000110",0
"F00000111",0
"F00000112",0
"F00000113",0
"F00000114",0
"F00000117",0
"F00000128",0
"F00000131",0
"F00000132",0
"F00000136",0
"F00000138",0
"F00000142",0
"F00000143",0
"F00000144",0
"F00000146",0
"F00000149",0
"F00000152",0
"F00000158",0
"F00000161",0
"F00000162",0
"F00000163",0
"F00000166",0
"F00000170",0
"F00000171",0
"F00000172",0
"F00000173",0
"F00000179",0
"F00000184",0
"F00000186",0
"F00000192",0
"F00000194",0
"F00000195",0
"F00000200",0
"F00000201",0
"F00000202",0
"F00000207",0
"F00000208",0
"F00000210",0
"F00000211",0
"F00000214",0
"F00000216",0
"F00000220",0
"F00000222",0
"F00000224",1
"F00000225",0
"F00000226",0
"F00000227",0
"F00000228",0
"F00000233",0
"F00000236",0
"F00000237",0
"F00000238",0
"F00000239",0
"F00000243",0
"F00000244",0
"F00000246",1
"F00000248",1
"F00000251",1
"F00000252",0
"F00000254",1
"F00000255",0
"F00000256",1
"F00000258",1
"F00000259",0
"F00000260",0
"F00000270",1
"F00000271",0
"F00000272",0
"F00000273",0
"F00000274",0
"F00000275",0
"F00000280",1
"F00000282",0
"F00000286",0
"F00000288",0
"F00000289",0
"F00000291",0
"F00000294",0
"F00000295",0
"F00000298",0
"F00000300",0
"F00000301",0
"F00000302",0
"F00000303",0
"F00000307",0
"F00000309",1
